A - HGNC,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi)
VWF,,,,-3.174815256
VWA7,,,,
VTI1B,,,,
VSTM1,,,,-4.074794607
VSIG10L,,,,2.260143608
VPS54,,,,
VPS53,,,,
VPS26C,,,,
VNN1,,,,-2.225633387
VMO1,,,,
VLDLR,,,,-2.698020435
VIPR1,,,,-3.097651057
VEPH1,,,,
VCX2,,,,
VCAM1,,,,2.339997895
UTP18,,,,
UTP14A,,,,
USP51,,,,-2.530404193
USP44,,,,
USP41P,,,3.60559081,4.48649546
USP30-AS1,,,,2.843704244
USP18,,,3.75757904,4.914183423
USH1G,,,,
USF3,,,,
URI1,,,,
UQCRQ,,,,-2.174966501
UQCRFS1P1,,,,-2.123453622
UPF3B,,,,
UPB1,,,,4.852647478
UNC5C,,,,4.009262289
ULK3,,,,
UGP2,,,,
UCP2,,,,-2.3477491
UCN,,,,
UCHL5,1.258477297,,,
UCHL1,,-2.812635139,,
UBXN7,,-2.721373263,,
UBTD1,,,,
UBR4,,,,
UBE2QL1,,,,
UBE2O,1.145852987,,,
UBE2L6,,2.504379703,,
UBE2J1,,,,
UBD,,,,3.379379398
UBAP2,,,,
TYMP,,,,2.000156273
TXNRD2,2.496962686,,,
TXNL4B,,,,
TXNDC12,,,,
TUSC1,,,-2.03146195,
TULP2,,,2.933048917,3.566324135
TUBB2A,,,,-2.342686646
TUBA3D,,,,
TTI2,,,,
TTC5,,,,
TTC39A,,,,2.161724798
TSPYL5,,,3.456797383,
TSPAN5,,,,
TSPAN33,,,,
TSPAN15,,,,
TSPAN10,,,,
TSNAX-DISC1,,,,5.09648459
TSKU,,,,
TSHZ2,,,,
TSGA10IP,,,,
TSEN15,,,,
TRNAU1AP,,,,
TRMT112,,,,
TRMT10C,,,,5.563049862
TRIR,,,,
TRIP11,,,,
TRIM73,,,,
TRIM69,,,,2.966759419
TRIM54,,,,-2.728444139
TRIM5,,,2.461762726,3.151971953
TRIM31,,,4.432883954,5.252081494
TRIM24,,,,
TRIM22,,,2.654225418,2.912001278
TRIM21,,,,2.678713623
TRIB2,,,2.835462333,2.666427897
TRIB1,,,,-2.385038175
TRHR,,,,
TRAPPC2L,,,,-2.042776133
TRANK1,,,2.133498444,2.104421619
TRAFD1,,,,2.28318007
TRADD,,,,2.095533107
TPM2,,,,-2.511331401
TP53I13,,,,-2.256178416
TOR1B,,,,2.536339897
TOMM70,,,,
TOMM34,,,,
TOB1,,,,
TNKS1BP1,,,,
TNIP3,,,5.081562335,10.90977375
TNFSF18,,,,4.79617696
TNFSF13B,,,2.169117826,3.781879713
TNFSF10,,,5.849113775,6.16181457
TNFRSF9,,,,3.497599893
TNFRSF21,,,,-2.131956787
TNFRSF12A,,,-2.443426404,
TNFAIP6,,,3.265415604,6.266653842
TNF,,,2.492981672,5.088999092
TMTC1,,,,
TMPRSS3,,,,
TMPRSS13,,,,2.365315608
TMEM97,,,-4.252729969,
TMEM94,,,,
TMEM91,,,,-2.263703494
TMEM69,,,,
TMEM64,,,,
TMEM52B,,,2.987889,2.332640222
TMEM51,,,,
TMEM45B,,,,-2.415484508
TMEM44,,,,
TMEM39B,,,,
TMEM35A,,,,
TMEM33,,,,
TMEM30B,,,,
TMEM270,,,,
TMEM266,,,,
TMEM237,,,,
TMEM229B,,,,3.33895645
TMEM212,,,3.746152544,6.423641863
TMEM201,,,,
TMEM199,,,,
TMEM187,,,,-2.771355228
TMEM183BP,,,,
TMEM17,,,,
TMEM150C,,,,2.400739075
TMEM147-AS1,,,,-3.552335771
TMEM147,,,,
TMEM139,,,,2.518413791
TMEM126B,,,,
TMED4,,,,
TMCO3,,,,
TMC6,,,,-2.835190351
TM9SF1,,,,
TM4SF19-DYNLT2B,,,,-2.737752875
TM4SF19-AS1,,,,-2.422718293
TM4SF19,,,,-2.783795041
TLX1NB,,,,
TLR8,,,3.374184613,3.510536481
TLR3,,,2.417594074,3.912255257
TLE5,,,,
TLCD1,,,,
TIMP4,,,,
TIE1,,,,-2.559491428
THEMIS,,,,
THEM6,,,,
THAP12P7,,,-3.82441284,-7.520187469
TGM2,,,,-2.568053898
TGIF2,,,,-2.849792495
TFPT,,,,
TFPI2,,,,6.225043271
TEX55,,,,
TEX264,,,,
TESPA1,,,,3.119979726
TENT5C,,,,2.482153359
TDRD9,,,,-2.844318677
TDRD7,,3.050368893,2.269517374,2.622430248
TCP11L1,,,,
TCL6,,,,
TCEANC,,,,2.687802263
TBX21,,,,
TBX20,,,,
TBK1,,,,
TBCCD1,,,,
TBC1D3B,,,,
TBC1D23,,,,
TBC1D10C,,,,-2.19695321
TAS2R9,,,,
TAS2R16,,,,
TARP,,,,
TAP2,,,,3.131936802
TAP1,,1.254141695,,3.190053689
TAOK3,,,,
TANC1,,,,
TAGAP,,,2.022785639,3.535010383
TAF7,,,3.92788382,
TAF1D,,,,
TADA3,,,,
TACC3,,,,
TAC3,,,3.753710748,8.310820224
SZT2,,,,
SYTL1,,,,-2.591571538
SYT15,,,2.006713704,2.211292078
SYT11,,,,
SYT1,,,,-3.643873032
SYNPO2,,,,5.004197813
SYNPO,,,,3.342089521
SYNC,,,,
SYCP2L,,,,
SUPT3H,,,,
SUMF2,,,,
SUDS3P1,,,2.042546961,
STXBP1,,,,-2.007052174
STX12,,,,
STX11,,,3.763858866,2.791154298
STUM,,,,
STOX2,,,,
STOX1,,,,
STOML1,,,2.463601542,3.269948489
STOM,,1.878361517,,2.083760291
STK17A,,,,2.07631086
STEAP4,,,2.350003938,3.317246802
STATH,,,,
STAT2,,2.441895404,,2.356223959
STAT1,,2.708410504,2.751635954,3.366775964
STAP1,,,6.394815515,6.226942419
STAB1,,,,-2.822945985
ST8SIA4,,,,2.107063447
ST6GALNAC4,,,,-2.027850923
ST6GALNAC3,,,,-2.755435914
ST3GAL3,,,,
SSPOP,,,,
SSB,,,,2.009418664
SRSF8,,,,-3.919729596
SRSF11,,,,
SRRM3,,,,
SRFBP1,,,,
SPRR4,,,,
SPRR2B,,,,
SPRING1,,,,-2.01415878
SPOPL,,,,
SPON1,,,3.138299407,3.941877927
SPOCD1,,,,-2.747572695
SPINDOC,,,,
SPECC1,,,,
SPATS2L,,0.664048158,,
SPATC1L,,,,
SPATC1,,,,
SPATA31G1,,,,
SPATA12,,,-2.562906726,
SPARC,,,,-2.268423329
SPAG11A,,,,
SPA17,,,,
SP140,,,2.965999951,3.481205792
SP110,0.842989962,2.214229617,2.758843792,3.157244417
SP100,,1.528571932,,
SOX13,,,,
SOWAHC,,,-5.75033706,
SOD2,,,,3.105013551
SOD1,,,,
SOCS2,,,,2.516615371
SOCS1,,,2.317312437,2.606520113
SNX25,,,,
SNX20,,,,
SNX17,,,,
SNURF,,,,
SNRNP35,,,,
SNRNP27,,,,
SNRNP25,,,,-2.594644621
SNORD94,,,-5.249637352,
SNHG20,,,,-3.058506884
SNED1,,,,-2.239532488
SNCA,,-2.165704026,,
SMTNL1,,,2.561349979,3.267474135
SMTN,,,,
SMIM19,,,,
SMIM18,,,,2.092446129
SMIM13,,,,
SMCO2,,,,3.159729595
SMAD6,,,,
SLURP1,,,,
SLFN12L,,,4.786405789,5.545521292
SLFN12,,,,2.134900698
SLFN11,,,,
SLC9A3-AS1,,,,-2.023120879
SLC9A2,,,,-2.002158987
SLC7A13,,,,
SLC5A3,,,,
SLC51B,,,,
SLC45A3,,,,-2.607852432
SLC44A1,,,,
SLC43A1,,,,-2.874015156
SLC39A8,,,,2.083390607
SLC39A3,,,,-2.174472471
SLC38A5,,,4.854372125,7.169937763
SLC37A2,,,,-2.944238258
SLC35F3,,,,-4.889804633
SLC35E3,,,,
SLC35D2,,,,
SLC35B2,,,,
SLC32A1,,,,
SLC30A9,,,,
SLC30A4,,,,2.363656495
SLC30A3,,,,-2.302540774
SLC30A1,-2.114594111,,,-2.60444152
SLC2A4RG,,,,-2.061515288
SLC2A12,,,,2.669389496
SLC25A21,,,,
SLC25A17,,,,
SLC24A4,,,,-2.684548779
SLC22A13,,,,
SLC19A1,,,,-2.582931123
SLC18B1,,,2.398612782,
SLC16A7,,,,-3.111008761
SLC16A12,,,7.800128375,7.356990346
SLC16A10,,,,-2.007798958
SLC13A5,,,-4.317471221,
SLC10A6,,,,
SLBP,,,,
SLAMF7,,1.171972565,,
SKA3,,,,
SKA2,,,,
SIRT2,,,,
SIRPA,,,,
SIMC1,,,,
SIMALR,,,4.053662304,7.64752147
SIM2,,,,
SIGLEC8,,,,
SIGLEC1,,2.605906967,3.100289914,4.86516456
SIGIRR,,,,-2.229678441
SIDT1,,,2.062571092,
SHISA4,,,,
SHC3,,,,
SHANK3,,,,
SH3GL1,,,,
SH2D3C,,,,
SH2D1B,,,5.521621794,5.713500707
SGPP2,,,,2.584833185
SGIP1,,,6.243304299,6.488245741
SFXN2,,,,-2.66473814
SFTPC,,,,
SFT2D3,,,,
SFT2D2,,,,
SFMBT1,,,,
SETD7,,,,
SERTAD2,,,,-3.095841914
SERPINH1,,1.071614534,,
SERPING1,,,3.883687105,4.566919268
SERPINB9P1,,,2.279284295,2.169188484
SERPINB9,,,,2.308581029
SERPINB10,,,,6.206161192
SERPINA11,,,,
SERINC2,,,,-2.442486428
SEPTIN6,,,,
SEPTIN5,,,,-4.177445718
SEPSECS,,,,
SEMG1,,,,-2.19460735
SEMA4D,,,,2.186708331
SEMA4A,,,,2.226449364
SEMA3F-AS1,,,-2.167094811,
SEMA3F,,,,
SEMA3D,,,4.448537723,7.837903065
SEMA3A,,,,2.38694679
SELP,,,,
SELL,,,2.117799781,3.531265975
SELENON,,,,-2.228475474
SECTM1,,,3.853388104,4.387917821
SEC24B,,,,
SEC22C,,,,
SDR9C7,,,,
SDK1,,,,-2.394525103
SDC2,,,,-2.09743789
SDC1,,,,-2.3182993
SCUBE2,,,,2.22564849
SCRN2,,,,
SCOC,,,,
SCN3A,,,3.900109198,7.675118804
SCLT1,,,,2.062383488
SCIMP,,,,2.998681647
SCGB2B2,,,,
SCFD1,,,,
SCD,,,,-2.330454681
SCART1,,,,2.439916843
SCAMP2,,,,
SCAMP1-AS1,,,3.591078355,
SCAF11,,,,
SBF1,,,,-2.139829732
SBDS,,,,
SAXO4,,,,
SAT1,,,,2.018326076
SAR1A,,,,
SAMSN1,,,,2.109494745
SAMD9L,1.172951102,1.858370323,2.920303469,4.517262664
SAMD9,,1.653304209,,5.097999371
SAMD4A,,,2.056018972,
SAMD11,,,,-4.801134221
SAFB2,,,,
SAAL1,,,,
S1PR1,,,2.795488067,
S100A9,,,,-2.263715591
S100A4,,,,-2.178198447
S100A10,,,,
RXFP1,,,5.477938147,4.811051188
RUNX3,,,,2.3785283
RUFY4,,,,2.210328439
RUBCNL,,,,-2.181753125
RTP4,,,,4.590393751
RTP2,,,,
RTL9,,,,4.387507306
RSAD2,,,6.689114369,9.149451093
RRAGB,,,,
RPUSD1,,,,-2.09766017
RPSAP9,,,,-2.307021165
RPSAP54,,,,-3.531182179
RPS6KA1,,,,
RPS4X,,,,
RPS2P55,,,,-4.771751465
RPS26P47,,,-5.343940271,
RPRML,,,,
RPL7AP66,,,-7.71216927,-2.524500957
RPL7A,,,,
RPL23AP42,,,,-2.323002205
RPL15P3,,,7.790947759,7.746835595
RPL13A,,,,
RPL13,,,,-2.088141636
RPA4,,,,
ROR1,,,,-2.00290432
RNU1-3,,,,3.809248256
RNPS1,,,,
RNLS,,,,
RNF43,,,,4.430766287
RNF215,,,,
RNF213-AS1,,,4.731135005,2.747525971
RNF213,,1.577665674,2.240977259,
RNF19B,,,,2.582123476
RNF152,,,,2.359846146
RNF135,,,,
RNF126,,-0.675007177,,
RNF125,,,,-2.875654669
RND3,,,,3.331209877
RNASE13,,,,
RNASE11,,,,
RN7SL4P,,,7.21547792,
RN7SL3,,,-3.119142966,-5.12379576
RN7SKP80,,,5.586726913,
RMI2,,,,3.74841586
RMDN2,,,,
RIPK2,,,,2.124985127
RINL,,,,
RING1,1.150034561,0.891145679,,
RIMS2,,,,3.403039403
RIGI,3.020813326,4.380299408,4.542907458,4.700066736
RHPN2,,,,
RHOBTB3,,,,
RHOBTB2,,,,
RHEBL1,,,,3.089707343
RHBDF1,,,,-2.481160298
RHBDD2,,,,
RGS9,,,,6.117057621
RGS22,,,,
RGS19,,,-3.46569288,
RGS18,,,,-2.350365681
RGS16,,,,-2.675565431
RGS14,,,,-2.211517197
RGL4,,,,
RGL1,,,,2.199537436
RGCC,,-1.448225267,,
RFLNB,,,,-2.149882131
RERGL,,,,
RERG,,,,
REC114,,,,
RCL1,,,,
RCE1,,,,
RBPMS2,,,,
RBMY1E,,,,
RBMY1B,,,,
RBMS2,,,2.268375981,
RBM22,,,,
RBM15B,,,,
RASSF7,,,,-2.06135628
RASSF5,,,,
RASIP1,,,,
RASAL1,,,,-2.307805031
RAPGEFL1,,,,
RAP1GAP,,,,-2.178465848
RANBP3L,,,7.063673884,9.733418682
RANBP3,,,,
RAMP1,,,,
RAMACL,,,,6.283978711
RALBP1,,,,
RAI14,,,,-2.035508158
RADX,,,,-2.105654827
RAD54B,,,,
RAD17P2,,,,2.032203123
RABGAP1L-IT1,,,3.63447763,4.341430146
RABGAP1L-AS1,,,2.437151229,2.745659467
RABEPK,,,,
RAB9A,,,,
RAB5B,-1.361548243,-1.906787897,,
RAB43,1.346686195,,,
RAB40C,,,,
RAB3D,,,-2.561678762,-2.024029039
RAB39B,,,,2.060652337
RAB39A,,,,3.272293528
RAB1AP1,,,3.167019589,4.619818839
RAB11FIP5,,,,
R3HDM4,,,,
QKI,,,,
PYY,,,,
PYDC2,,,,
PXT1,,,,2.068220522
PWP2,,,,
PUS7L,,,,
PTPRF,,,,
PTPRD,,,,
PTPN7,,,,
PTPN13,,,,-2.107542067
PTOV1,,,,-2.106726906
PTMS,,,,
PTGS2,,,4.043193308,5.473799111
PTGFRN,,,,
PTGES3L-AARSD1,,,5.224656279,
PTGER3,,,,5.20664375
PTGDR2,,,,
PTDSS2,,,,
PTCHD4,,,,
PTCHD1,,,,7.719531993
PSORS1C1,,,,
PSMF1,,,,
PSME2,,,,2.290147101
PSMD6,,,,
PSMC2P1,,,,-2.914223154
PSMC2,,,,
PSMB9,,,2.242619031,2.504072834
PSG3,,,,
PSG11,,,,
PSD4,0.653926188,0.814482558,,
PSAT1,,,,-2.299177533
PRXL2C,,,,
PRXL2A,,,,-2.104367706
PRX,,,,
PRSS55,,,,
PRSS23,,,,3.102986075
PRRG2,,,,
PRR34,,,,
PRR21,,,,
PRR14L,,,,
PROX1,,,,
PRNP,,,-4.43818478,
PRMT5,,,,
PRLR,,,2.848986638,3.446810824
PRKCI,,,,
PRKCB,,,,-2.082448195
PRKACA,2.336694091,,,
PRKAA1,,-2.160761917,,
PRICKLE1,,,2.003919592,2.937186738
PRG4,,,,
PRDX6,,,,
PRDX2,,,,-2.395531688
PRDM8,,,,2.192512003
PRDM4,,,,
PRDM11,,,,
PRAMEF10,,,,
PRAME,,,,5.563697309
PRAM1,,,,-2.317533214
PRAL,,,4.106739691,9.601909938
PRADC1,,,,-2.808948081
PPT2,,,,
PPP2R2A,,,,
PPP1R27,,,,
PPP1R17,,,,-3.958949972
PPP1R14A,1.624327066,,,
PPP1R12A,,,,
PPM1M,,,,
PPM1K-DT,,,3.765969579,7.156340564
PPM1K,,,3.179653656,3.920554715
PPM1J,,,,-2.113131877
PPIF,,,,
PPA1,,,,2.854237652
POU2AF1,,,,
POMGNT1,,,,
POLR3D,,,,
POLR2C,,,,
POLH,,,,
POLD4,,,,
PNPT1,,,2.984526336,3.861456462
PNPLA7,,,,-2.251058742
PNPLA5,,,,
PNPLA3,,,,-3.840301617
PNP,,,,
PNMA8B,,,,
PML,,1.80977867,,
PMCH,,,,
PMAIP1,,,,4.488983105
PLXNA2,,,,-2.43098521
PLSCR2,,,4.695664949,6.079182113
PLSCR1,,,3.395658382,4.258726505
PLS3,,,,4.617455053
PLS1,,,,-2.106687048
PLPPR2,,,,-2.088948202
PLPBP,,,,
PLOD3,,,,
PLK4,,,,
PLK1,,,,-2.164217316
PLEKHH1,,,,2.028946846
PLEKHA8P1,,,,
PLEKHA4,,,5.659858439,6.239419622
PLEK,,,,
PLCXD2,,,,
PLCB4,,,5.02908603,7.894256807
PLBD2,,,,
PLBD1,,,,
PLAAT4,,,,3.607417372
PLAAT3,,,,4.131472542
PLAAT2,,,,6.054422663
PLA1A,,,,4.076753956
PKNOX2,,,,
PKIA,,,,-2.349821749
PKD1L2,,,,
PITPNM3,,,-2.441698883,
PIP5KL1,,,,
PIMREG,,,,
PIK3R3,,,,2.823420195
PIK3C3,,-1.843942443,,
PIK3C2A,,,,
PIH1D2,,,,2.714925166
PIH1D1,,,,
PIGT,,,,
PIGM,,,,4.553544139
PIANP,,,,
PI4K2B,,,,2.002297122
PHKA1,,,,-2.228589505
PHGDH,,,,-2.244540512
PHF11,,,,2.235866702
PHEX,,,,
PHACTR4,,,,2.02222272
PGPEP1,,,,-2.011715149
PGLYRP3,,,,
PGBD5,,,,-2.399419629
PGAP1,,,3.079725966,2.79556286
PGAM5,,,,
PF4V1,,,,
PEX16,,,,
PER1,,,,
PEMT,,,,-2.090908044
PELO,,,,
PEDS1,,,,
PEBP1,,,,
PDZRN4,,,,
PDZK1IP1,,,,
PDXDC1,,-2.897919584,,
PDK4,,,,-2.366928316
PDGFRL,,,4.106404032,5.634888339
PDGFRA,,,,
PDE9A,,,,
PDE6D,,,,
PDE4B-AS1,,,6.587257008,7.335466066
PDE4B,,,2.141435166,4.903709361
PDE2A,,,,
PDCD1LG2,,,,2.159011275
PDAP1,,,,
PCSK6,,,,-3.466198464
PCSK1N,,,,
PCED1B-AS1,,,,-2.089994607
PCED1A,,,,
PCDHGA12,,,,
PCDHB4,,,,
PCDHB14,,,,
PCDHB1,,,,
PCDHA9,,,,
PCDHA6,,,,
PCDH9,,,,2.077927523
PCDH1,,,,-3.045948429
PCBP4,,,-3.18293496,
PCARE,,,,-4.888237275
PC,,,,-2.954811735
PAXX,,,,
PAX5,,,3.467993562,5.836471122
PARP9,0.971403167,2.34950984,2.713607266,3.685007573
PARP15,,,2.400936859,3.363580765
PARP14,,2.689508851,2.915364883,3.581373649
PARP11-AS1,,,,2.365017738
PARP10,,1.829224207,,
PAQR5,,,,-3.03582561
PAQR4,,,-4.798066654,
PANK1,,,,
PAK2,,,,
PAK1IP1,,,,
PAGR1,,,,-2.500613706
PADI6,,,,
PACS2,-1.582585897,,,
PABPN1,,,,
PABIR3,,,,2.48762753
P3H2,,,,5.929485513
P2RY6,,,2.626992819,
OVGP1,,,-2.286492401,
OTOP1,,,,
OTOF,,,4.359145326,5.586883983
OTC,,,,
OSR2,,,5.188367621,6.565921098
OSM,,,,2.498166918
OSCAR,,,,
OSBP,,,,
OR8U8,,,,
OR7A5,,,,
OR7A17,,,,
OR6C1,,,,
OR6A2,,,,
OR5L1,,,,
OR52K2,,,,
OR52I2,,,,
OR52B6,,,,
OR52B4,,,,
OR52B2,,,,
OR51A7,,,,
OR51A4,,,,
OR4P4,,,,
OR4K2,,,,
OR4K15,,,,
OR4D2,,,,
OR2W1,,,,
OR2T12,,,,
OR2T11,,,,
OR2S2,,,,
OR2D3,,,,
OR1L1,,,,
OR1K1,,,,
OR1D5,,,,
OR12D3,,,,
OR10K2,,,,
OR10A7,,,,
OPTC,,,,
OPRL1,,,,-2.555546524
OPLAH,,,,-3.299833312
OPCML,,,,
OLR1,,,,
OLFML3,,,,2.287976074
OLFML2A,,,,
OFD1,,,,
ODF2L,,,,
ODF2,,,,
OBSCN,,,,-2.656989275
OBP2A,,,,
OBI1,,,,
OASL,,2.916732074,5.3621638,7.629658174
OAS3,,3.175544218,2.954096888,3.525594648
OAS2,,3.580865407,3.509159777,4.783685157
OAS1,2.309110681,2.327680098,2.216717455,2.150507039
NXF3,,,,-2.131319381
NUS1P1,,,6.798750261,
NUPR1,,,,
NUP62CL,,,,
NUP210L,,,,
NUP210,,,,-2.168942785
NUDT18,,,,
NUDT16L1,,,,-2.704193843
NUDCD2,,,,
NUB1,,4.458123748,,3.035419357
NTM,,,,
NT5DC2,,,,-2.835869082
NT5C3AP1,,,3.217212931,6.29600437
NT5C3A,2.031440785,,4.397701095,5.469384862
NRN1L,,,,
NRIR,,,3.430358921,6.468597074
NRIP1,,,,2.992187607
NRGN,,,,-4.819612758
NRF1,,,,
NPPA,,,,
NPM1P27,,,,-2.330787461
NPIPA1,,,,
NPC2,,,,
NPAS3,,,,
NOTCH2NLA,,,,
NORAD,,,9.947374479,
NOD2,,,,2.287088759
NMI,,,2.39692261,3.144371049
NME9,,,,
NMBR,,,,
NLRP3,,,,
NLRP12,,,,-3.565044177
NLRP1,,,,
NKD1,,,2.505231462,
NIPSNAP3B,,,,
NINL,,,,-2.007797399
NGRN,,,-2.075990962,
NGDN,,,,
NFRKB,,,,
NFKBIZ,,,2.450053152,4.078398855
NFKBIA,,,,2.201404016
NFKB1,,,,2.155972928
NFE2L3,,,,2.379258106
NFATC2,,,-2.440197177,
NFASC,,,,
NEXN,,,2.764890114,4.214092339
NEUROG3,,,,
NEUROD2,,,,
NEURL4,,,,
NEURL3,,,3.716256818,4.890162048
NES,,,,-2.972837691
NEO1,,,,
NEMP1,,,,2.152090852
NELFCD,,,,
NEDD9,,,,
NEDD1,,,,
NECTIN3,,,3.285398661,4.438681082
NDUFAF6,,,,
NDEL1,,,,
NDC80,,,4.236269273,2.721007277
NCS1,,,,-2.619494791
NCOA1,,,,
NCF1C,,,2.046302234,3.173937708
NCF1B,,,2.043358543,3.298083571
NCF1,,,2.307107124,3.265272995
NCAPH,,,,-3.437747556
NCAPG2,,,,
NBN,,,,2.539712266
NBL1,,,,
NBEAL2,-1.278896145,,,
NAT8,,,4.211057643,5.940362742
NAPSB,,,,2.49076009
NAPB,,,,
NAP1L1,,,,
NAMPTP1,,,,3.34214127
NAMPT,,,,2.356225153
NAGPA,,,,
NAE1,,,,
NACA2,,,,
NAA80,,,,
N4BP2L1,,,,2.104926843
MYORG,,,,
MYOF,,,,
MYO5A,,,,
MYO1A,,,2.670743343,5.431294813
MYL9,,,,-2.516867384
MYL3,,,,
MYH4,,,,
MYH1,,,,
MYDGF,,,,
MYC,,,,-2.104906602
MXD1,,,,2.004847473
MX2,3.68336919,5.787620472,4.086731871,4.760283321
MX1,3.466208244,6.232267805,4.778496836,6.345792059
MVP,,,,
MVB12B,,,,2.226161005
MUC4,,,,
MTRF1,,,,
MTND6P5,,,5.9410883,4.528254095
MTND5P28,,,3.181829888,2.845457039
MTG1,,,,
MTFMT,,,,
MTDH,,,,
MTCO1P4,,,,5.417771401
MTCL1,,,,-2.358092811
MTARC1,,,,
MSX1,,,,
MSN,,,,
MSLN,,,,
MSI2,,,,
MSH5-SAPCD1,,,-2.17365427,
MSC,,,,2.456749507
MRPS16,,,,-2.163169579
MRPS14,,0.707201924,,
MRPL53,,,,-2.940827305
MRPL39,1.864309705,,,
MRPL36,,,,5.03291773
MRPL30,,,,
MRPL21,,,,
MRPL20,,,,
MRPL10,,,,
MROH7,,,,-2.080070423
MRNIP,,,,
MRM1,,,,
MPZL1,,,,
MPV17L2,,,,
MPLKIP,,,,
MPIG6B,,,,
MPG,,,,-2.409025459
MOXD1,,,3.425641012,5.551720643
MOGS,,,,
MOGAT1,,,,-2.791271812
MOAP1,,,-3.664711698,
MN1,,,,2.145446057
MMS22L,,,,
MMP25,,,,2.264355815
MMP10,,,,
MME,,,,-2.161562885
MMD,,,,
MMAB,,,,
MLX,,,,
MLEC,,,,
MLANA,,,,
MKI67,,,,-2.830821843
MIR3945HG,,,,5.290265316
MIR181A1HG,,,,2.494251095
MIR155HG,,,,2.893898621
MGAT1,,,,
MFSD2A,,,,
MEX3D,,,,
MEX3B,,,-2.724501261,
METTL6,,,,
METTL26,,,,
METTL13,,-0.964496405,,
MEP1B,,,,5.260033844
MELTF,,,,
MED6P1,,,6.554079551,8.533873776
MED14OS,,,2.606290909,3.68162528
MED13L,,,,
MECP2,,,,
ME3,,,,-2.862127646
MDP1,,,,
MDK,,,,2.870519264
MDGA1,,,,2.466462569
MCTP2,,,,
MCTP1-AS1,,,,2.278256849
MCPH1,,,,
MCOLN2,,,2.389169459,4.431718212
MCF2L,,,,-3.782809087
MCEMP1,,,-2.399071533,-2.658127386
MCCC1,,,,
MCAM,,,,-2.571600538
MBNL3,,,,
MBNL1-AS1,,,,6.463516651
MBLAC2,,,,
MBD5,,,,
MBD3,,,,
MATK,,,,-2.014698996
MATCAP2,,,,-2.1803825
MASTL,,,,2.528208702
MARCO,,,,-2.394138399
MARCKSL1,,,4.320569543,
MARCKS,,2.060799559,,
MAPK9,-0.899060288,,,
MAPK8IP2,,,,
MAPK14,,,,
MAP7,,,,-2.104696158
MAP2K3,,,,
MAP2,,,,3.71506647
MAP1B,,,,
MANEAL,,,,-2.624958037
MAN1A2,,,,
MAMLD1,,,,
MAK,,,,
MAGED1,,,,-2.295468373
MAGEC1,,,,
MAGEB4,,,,
MAGEB3,,,,
MAGEA5P,,,,
MAG,,,,
MACROD1,,,,
MAB21L4,,,,
MAB21L2,,,,
LYSMD4,,,,
LYSMD2,,,3.380155836,4.637059841
LYRM7,,,,-2.046423085
LYPD4,,,,
LYPD2,,,,
LYAR,1.381904766,,,
LY6E-DT,,,3.012393905,2.600799572
LY6D,,,,
LUC7L3,,,,
LTA,,,,5.964985238
LRRN2,,,,
LRRK2-DT,,,,5.527107898
LRRCC1,,,,
LRRC75A,,,,
LRRC40,,,,
